"Coupon code does not exist.","De coupon code bestaat niet."
"Your coupon is inactive.","Uw coupon is niet actief."
"Your coupon is not valid for this store.","Uw coupon is niet geldig voor deze webshop."
"Allowed Websites: %s.","Toegestane shops: %s."
"Your coupon is not valid for your Customer Group.","Uw coupon is niet geldig voor uw klantgroep."
"Allowed Customer Groups: %s.","Toegestane klantgroepen: %s."
"Your coupon is not valid yet. It will be active on %s.","Uw coupon is nog niet geldig. Geldigheid is vanaf %s."
"Your coupon is no longer valid. It expired on %s.","Uw coupon is nog niet meer geldig. Geldigheid verliep op %s."
"Your coupon was already used.","Uw coupon is al gebruikt."
"It may only be used %s time(s).","De coupon mag maar %s keer gebruikt worden."
"You have already used this coupon.","U heeft deze coupon al gebruikt."
"It may only be used %s time(s) per customer.","De coupon mag maar %s keer gebruikt worden per klant."
"must be exactly","moet overeenkomen met"
"must not be","mag niet overeenkomen met"
"must be equal or greater than","moet groter of gelijk zijn aan"
"must be  equal or less than","moet kleiner of gelijk zijn aan"
"must be less than","moet kleiner zijn dan"
"must be greater than","moet groter zijn dan"
"must contain","moet bevatten"
"must not contain","mag niet bevatten"
"must be one of","moet één van de volgende zijn"
"must not be one of","mag niet één van de volgende zijn"
"total quantity","Totale hoeveelheid"
"total amount","Totaal bedrag"
"All of the following conditions must be met:","Alle van de volgende voorwaarden moet waar zijn:"
"At least one of the following conditions must be met:","Tenminste één van de volgende voorwaarden moet waar zijn:"
